SETTINGS_PAGE_DISPLAY_HEADER_RESOLUTION	Resolução
SETTINGS_PAGE_DISPLAY_HEADER_WINDOWMODE	Modo Janela

SETTINGS_PAGE_DISPLAY_WINDOWED	Modo Janela
SETTINGS_PAGE_DISPLAY_FULLSCREEN	Tela Cheia
SETTINGS_PAGE_DISPLAY_BORDERLESS	Janela Sem Bordas	-2
SETTINGS_PAGE_DISPLAY_HEADER_OUTLINE	Outline
SETTINGS_PAGE_DISPLAY_FADESTART	Início do Fade
SETTINGS_PAGE_DISPLAY_FADEEND	Fim do Fade
SETTINGS_PAGE_DISPLAY_COLOR	Cor
SETTINGS_PAGE_DISPLAY_OUTLINEBLUR5X5	Desfoque 5x5
SETTINGS_PAGE_DISPLAY_OUTLINEBLUR3X3	Desfoque 3x3

