SETTINGS_PAGE_GRAPHICS_HEADER_OPTIONS	Opções Gráficas
SETTINGS_PAGE_GRAPHICS_HEADER_LOD	Qualidade de Objeto
SETTINGS_PAGE_GRAPHICS_HEADER_SHADOWQUALITY	Qualidade de Sombra

SETTINGS_PAGE_GRAPHICS_VERYHIGH	Muito Alto
SETTINGS_PAGE_GRAPHICS_HIGH	Alto
SETTINGS_PAGE_GRAPHICS_MEDIUM	Médio
SETTINGS_PAGE_GRAPHICS_LOW	Baixo
SETTINGS_PAGE_GRAPHICS_CUSTOM	Personalizado

SETTINGS_PAGE_GRAPHICS_VSYNC	V-Sync
SETTINGS_PAGE_GRAPHICS_VIGNETTE	Vinheta
SETTINGS_PAGE_GRAPHICS_AO	Oclusão de Ambiente
SETTINGS_PAGE_GRAPHICS_SSS	Sombras de Espaço da Tela

SETTINGS_PAGE_GRAPHICS_BLOOM	Bloom
SETTINGS_PAGE_GRAPHICS_HEADER_ANTIALIASING	Anti Serrilhado
SETTINGS_PAGE_GRAPHICS_NONE	Nenhum
SETTINGS_PAGE_GRAPHICS_HEADER_TEXTUREQUALITY	Qualidade de Textura
SETTINGS_PAGE_GRAPHICS_FPSLIMIT	Limite de Taxa de Quadros
