STUDIOSCENESETTINGS_TITLE	场景设置
STUDIOSCENESETTINGS_BASIC_TITLE	基本
STUDIOSCENESETTINGS_ENV_TITLE	环境
STUDIOSCENESETTINGS_AUDIO_TITLE	音频

STUDIOSCENESETTINGS_NONESELECTED	无
STUDIOSCENESETTINGS_DEFAULT	默认

STUDIOSCENESETTINGS_NAME	名称
STUDIOSCENESETTINGS_MAP	地图
STUDIOSCENESETTINGS_COLOR	颜色
STUDIOSCENESETTINGS_IMAGE	图片
STUDIOSCENESETTINGS_BGM	BGM
STUDIOSCENESETTINGS_VOLUME	音量
STUDIOSCENESETTINGS_PLAYBACK	播放

STUDIOSCENESETTINGS_SELECT	选择
STUDIOSCENESETTINGS_STOP	停止
STUDIOSCENESETTINGS_START	开始
STUDIOSCENESETTINGS_RESET	重置

STUDIOSCENESETTINGS_FROMSCENE	加载的场景
STUDIOSCENESETTINGS_PICKIMAGE	选择图片
STUDIOSCENESETTINGS_PICKBGM	选择BGM
STUDIOSCENESETTINGS_SKYBOX	天空盒
STUDIOSCENESETTINGS_INTENSITY	强度
STUDIOSCENESETTINGS_PICKSKYBOX	选择自定义天空盒
STUDIOSCENESETTINGS_ROTATION	旋转
