NOTIFICATION_TITLE_CLOTHINGFITTING	服装调试
NOTIFICATION_TITLE_MISSINGMOD	模组缺失
NOTIFICATION_TITLE_BACKGROUND	背景
NOTIFICATION_TITLE_BGM	背景音乐
NOTIFICATION_TITLE_SETTINGS	设置
NOTIFICATION_TITLE_SCREENSHOT	截图
NOTIFICATION_TITLE_TEXTURE	纹理
NOTIFICATION_TITLE_BROKENCHARA	角色损坏
NOTIFICATION_TITLE_BROKENPOSE	姿势损坏
NOTIFICATION_TITLE_BROKENEXPR	表情损坏
NOTIFICATION_TITLE_MISSINGCHARAPART	身体部件缺失

NOTIFICATION_TITLE_DATAOBJ_CHARACTERCARD	角色卡
NOTIFICATION_TITLE_DATAOBJ_OUTFITCARD	服装卡
NOTIFICATION_TITLE_DATAOBJ_STUDIOSCENECARD	工作室场景卡
NOTIFICATION_TITLE_DATAOBJ_EXPRESSION	表情
NOTIFICATION_TITLE_DATAOBJ_NAMES	名称
NOTIFICATION_TITLE_DATAOBJ_SETTINGS	设置
NOTIFICATION_TITLE_DATAOBJ_POSECARD	姿势卡

NOTIFICATION_TITLE_UNDO	撤销
NOTIFICATION_TITLE_REDO	重做

NOTIFICATION_DESC_CLOTHINGFITTING_COMPLETE	服装调试过程完成。（耗时：{{0}}毫秒）

NOTIFICATION_DESC_MOD_NOTFOUND	未找到模组{{0}} ID{{1}}，跳过
NOTIFICATION_DESC_MOD_NOTFOUND_DEFAULTING	未找到模组{{0}} ID{{1}}，默认设置

NOTIFICATION_DESC_BACKGROUND_FAILED	加载背景图像失败
NOTIFICATION_DESC_BGM_FAILED	加载背景音乐失败

NOTIFICATION_DESC_CHARA_FAILED	角色加载失败，使用默认设置
NOTIFICATION_DESC_POSE_FAILED	姿势加载失败，跳过
NOTIFICATION_DESC_EXPR_FAILED	表情加载失败，跳过
NOTIFICATION_DESC_CHARAPART_NOTFOUND_DEFAULTING	未找到身体部件{{0}}，默认设置

NOTIFICATION_DESC_DATA_SAVED	数据保存成功
NOTIFICATION_DESC_DATA_LOADED	数据加载成功
NOTIFICATION_DESC_DATA_ADDED	数据添加成功
NOTIFICATION_DESC_DATA_DELETED	数据删除成功
NOTIFICATION_DESC_DATA_WFAILED	数据保存失败
NOTIFICATION_DESC_DATA_RFAILED	数据读取失败

NOTIFICATION_DESC_SAVEDAS	另存为{{0}}

NOTIFICATION_DESC_SETTINGS_DEFAULTED	默认设置全部恢复
NOTIFICATION_DESC_SETTING_FAILED	设置{{0}}保存失败

NOTIFICATION_DESC_UNDO_SUCCESS	撤销成功
NOTIFICATION_DESC_UNDO_FAIL	撤销失败

NOTIFICATION_DESC_REDO_SUCCESS	重做成功
NOTIFICATION_DESC_REDO_FAIL	重做失败
NOTIFICATION_DESC_MOD_VERSIONDIFF	Mod: {{0}} ID: {{1}} 版本: {{2}} 与已安装的版本: {{3}} 不同，可能存在不兼容性
NOTIFICATION_TITLE_SKYBOX	天空盒
NOTIFICATION_DESC_SKYBOX_FAILED	天空盒加载失败
