SETTINGS_PAGE_GRAPHICS_HEADER_OPTIONS	画质选择	-4
SETTINGS_PAGE_GRAPHICS_HEADER_LOD	物体质量	-4
SETTINGS_PAGE_GRAPHICS_HEADER_SHADOWQUALITY	阴影质量	-4

SETTINGS_PAGE_GRAPHICS_VERYHIGH	超高
SETTINGS_PAGE_GRAPHICS_HIGH	高
SETTINGS_PAGE_GRAPHICS_MEDIUM	中
SETTINGS_PAGE_GRAPHICS_LOW	低
SETTINGS_PAGE_GRAPHICS_CUSTOM	自定义

SETTINGS_PAGE_GRAPHICS_VSYNC	垂直同步
SETTINGS_PAGE_GRAPHICS_VIGNETTE	暗角效果
SETTINGS_PAGE_GRAPHICS_AO	环境光遮蔽
SETTINGS_PAGE_GRAPHICS_SSS	屏幕空间阴影

SETTINGS_PAGE_GRAPHICS_BLOOM	泛光
SETTINGS_PAGE_GRAPHICS_HEADER_ANTIALIASING	抗锯齿
SETTINGS_PAGE_GRAPHICS_NONE	无
