MODCREATOR_BUILDER_MODINFO	模組信息
MODCREATOR_BUILDER_NAME	名稱
MODCREATOR_BUILDER_DESC	描述
MODCREATOR_BUILDER_AUTHOR	作者
MODCREATOR_BUILDER_VERSION	版本
MODCREATOR_BUILDER_COMPATVER	兼容版本
MODCREATOR_BUILDER_DEPS	依賴項
MODCREATOR_BUILDER_CHARAOBJ	角色物品
MODCREATOR_BUILDER_STUDIOOBJ	工作室物品
MODCREATOR_BUILDER_MODSCENE	模組場景
MODCREATOR_BUILDER_DEBUG	調試模式
MODCREATOR_BUILDER_ASSIGN	分配組件
MODCREATOR_BUILDER_BUILD	構建模組
MODCREATOR_BUILDER_RESET	重置
MODCREATOR_BUILDER_COMPTYPE	壓縮類型
MODCREATOR_BUILDER_DECOMPRESS	解壓模組
MODCREATOR_BUILDER_COMPRESS	壓縮模組
MODCREATOR_BUILDER_DEFAULT	默認
MODCREATOR_BUILDER_LOAD	加載模組
MODCREATOR_BUILDER_ASMINFO	程序集信息
MODCREATOR_BUILDER_SIZE	大小
MODCREATOR_BUILDER_LIST	列表
