STUDIOCHARSETTINGS_IKCORRPANEL_TITLE	IK更正
STUDIOCHARSETTINGS_IKCORRPANEL_NONESELECTED	未選擇角色
STUDIOCHARSETTINGS_IKCORRPANEL_ONLYONEALLOWED	一次只能修改一個角色
STUDIOCHARSETTINGS_IKCORRPANEL_EVERYTHING_TITLE	全部
STUDIOCHARSETTINGS_IKCORRPANEL_TOGGLE	切換
STUDIOCHARSETTINGS_IKCORRPANEL_DISABLE	禁用
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTFOREARM	左前臂
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTFOREARM	右前臂
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTUPPERARM	左上臂
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTUPPERARM	右上臂
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTCALF	左小腿
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTCALF	右小腿
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTTHIGH	左大腿
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTTHIGH	右大腿
STUDIOCHARSETTINGS_IKCORRPANEL_WEIGHT	權重
STUDIOCHARSETTINGS_IKCORRPANEL_CROSSFADE	淡入淡出
STUDIOCHARSETTINGS_IKCORRPANEL_ANGOFFSET	角度偏移
STUDIOCHARSETTINGS_IKCORRPANEL_MIRROR	鏡像值
STUDIOCHARSETTINGS_IKCORRPANEL_COPY	複製
STUDIOCHARSETTINGS_IKCORRPANEL_PASTE	粘貼
