SETTINGS_PAGE_GRAPHICS_HEADER_OPTIONS	畫質選擇	-4
SETTINGS_PAGE_GRAPHICS_HEADER_LOD	物體質量	-4
SETTINGS_PAGE_GRAPHICS_HEADER_SHADOWQUALITY	陰影質量	-4

SETTINGS_PAGE_GRAPHICS_VERYHIGH	超高
SETTINGS_PAGE_GRAPHICS_HIGH	高
SETTINGS_PAGE_GRAPHICS_MEDIUM	中
SETTINGS_PAGE_GRAPHICS_LOW	低
SETTINGS_PAGE_GRAPHICS_CUSTOM	自訂

SETTINGS_PAGE_GRAPHICS_VSYNC	垂直同步
SETTINGS_PAGE_GRAPHICS_VIGNETTE	暗角效果
SETTINGS_PAGE_GRAPHICS_AO	環境光遮蔽
SETTINGS_PAGE_GRAPHICS_SSS	螢幕空間陰影

SETTINGS_PAGE_GRAPHICS_BLOOM	泛光
SETTINGS_PAGE_GRAPHICS_HEADER_ANTIALIASING	抗鋸齒
SETTINGS_PAGE_GRAPHICS_NONE	無
SETTINGS_PAGE_GRAPHICS_HEADER_TEXTUREQUALITY	材質質量
