CHARAPROFILE_TITLE	Character Profile
CHARAPROFILE_BASIC_TITLE	Basic Information
CHARAPROFILE_OPTIONS_TITLE	Character Options
CHARAPROFILE_BIO_TITLE	Character Biography

CHARAPROFILE_RANDOM	Random

CHARAPROFILE_FAMILYNAME	Family Name
CHARAPROFILE_GIVENNAME	Given Name
CHARAPROFILE_BIRTHDATE	Birth Date
CHARAPROFILE_BLOODTYPE	Blood Type
CHARAPROFILE_NICKNAME	Nickname
CHARAPROFILE_PERSONALITY	Personality

CHARAPROFILE_MONTH_JANUARY	January
CHARAPROFILE_MONTH_FEBRUARY	February
CHARAPROFILE_MONTH_MARCH	March
CHARAPROFILE_MONTH_APRIL	April
CHARAPROFILE_MONTH_MAY	May
CHARAPROFILE_MONTH_JUNE	June
CHARAPROFILE_MONTH_JULY	July
CHARAPROFILE_MONTH_AUGUST	August
CHARAPROFILE_MONTH_SEPTEMBER	September
CHARAPROFILE_MONTH_OCTOBER	October
CHARAPROFILE_MONTH_NOVEMBER	November
CHARAPROFILE_MONTH_DECEMBER	December

CHARAPROFILE_FUTA	Toggle Futanari

CHARAPROFILE_TOGGLE	Toggle
