SETTINGS_CATEGORIES_DISPLAY_TITLE	Display
SETTINGS_CATEGORIES_GRAPHICS_TITLE	Graphics
SETTINGS_CATEGORIES_AUDIO_TITLE	Audio
SETTINGS_CATEGORIES_TEXT_TITLE	Text
SETTINGS_CATEGORIES_GENERAL_TITLE	General
SETTINGS_CATEGORIES_CONTROLS_TITLE	Controls
SETTINGS_CATEGORIES_MODS_TITLE	Mods

SETTINGS_CATEGORIES_DISPLAY_DESC	Adjust Display Options
SETTINGS_CATEGORIES_GRAPHICS_DESC	Adjust Graphics Options
SETTINGS_CATEGORIES_AUDIO_DESC	Adjust Volume and Sound Options
SETTINGS_CATEGORIES_TEXT_DESC	Adjust Text Options
SETTINGS_CATEGORIES_GENERAL_DESC	Adjust General Game options
SETTINGS_CATEGORIES_CONTROLS_DESC	Adjust Controls
SETTINGS_CATEGORIES_MODS_DESC	Manage Mods and their settings
