STUDIOCHARSETTINGS_CLOTHACCPANEL_TITLE	Kleidung & Zubehör
STUDIOCHARSETTINGS_CLOTHACCPANEL_NONESELECTED	Kein Charakter ausgewählt
STUDIOCHARSETTINGS_CLOTHACCPANEL_ONLYONEALLOWED	Es kann nur ein Charakter zeitgleich bearbeitet werden

STUDIOCHARSETTINGS_CLOTHACCPANEL_SETS	Sets
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH	Kleidung
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC	Zubehör

STUDIOCHARSETTINGS_CLOTHACCPANEL_SET	Set
STUDIOCHARSETTINGS_CLOTHACCPANEL_WEAR	Tragen
STUDIOCHARSETTINGS_CLOTHACCPANEL_WEARING	Trägt
STUDIOCHARSETTINGS_CLOTHACCPANEL_TOGGLE	Umschalten
STUDIOCHARSETTINGS_CLOTHACCPANEL_STATE	Status

STUDIOCHARSETTINGS_CLOTHACCPANEL_DEFAULTOUTFIT	Standard Outfit
STUDIOCHARSETTINGS_CLOTHACCPANEL_NEWOUTFIT	Neues Outfit
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLONEDOUTFIT	Geklontes Outfit

STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_PERCLOTHCONTROL	Kleidungsstück einzeln bearbeiten
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_AUTO	Automatisch
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_CLOTHED	Gekleidet
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_UNDERWEAR	Unterwäsche
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_HALF	Halb
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_NAKED	Nackt
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_FULL	Voll
STUDIOCHARSETTINGS_CLOTHACCPANEL_CLOTH_OFF	Aus

STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_PERACCCONTROL	Zubehör einzeln bearbeiten
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_ESSENTIAL	Essentiell
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_IMPORTANT	Wichtig
STUDIOCHARSETTINGS_CLOTHACCPANEL_ACC_UNIMPORTANT	Unwichtig
