STUDIOCHARSETTINGS_IKPANEL_TITLE	Inverse Kinematics
STUDIOCHARSETTINGS_IKPANEL_NONESELECTED	Kein Charakter ausgewählt
STUDIOCHARSETTINGS_IKPANEL_ONLYONEALLOWED	Nur ein Charakter kann zeitgleich bearbeitet werden

STUDIOCHARSETTINGS_IKPANEL_EVERYTHING_TITLE	Alles

STUDIOCHARSETTINGS_IKPANEL_TOGGLE	Umschalten
STUDIOCHARSETTINGS_IKPANEL_SYNCANIM	Snychonisiere mit Animation	-3
STUDIOCHARSETTINGS_IKPANEL_SYNC	Sync

STUDIOCHARSETTINGS_IKPANEL_BODY	Körper
STUDIOCHARSETTINGS_IKPANEL_LEFTSHOULDER	Linkse Schulter
STUDIOCHARSETTINGS_IKPANEL_RIGHTSHOULDER	Rechte Schulter
STUDIOCHARSETTINGS_IKPANEL_LEFTTHIGH	Linke Hüfte
STUDIOCHARSETTINGS_IKPANEL_RIGHTTHIGH	Rechte Hüfte
STUDIOCHARSETTINGS_IKPANEL_LEFTHAND	Linke Hand
STUDIOCHARSETTINGS_IKPANEL_RIGHTHAND	Rechte Hand
STUDIOCHARSETTINGS_IKPANEL_LEFTFOOT	Linker Fuß
STUDIOCHARSETTINGS_IKPANEL_RIGHTFOOT	Rechter Fuß

STUDIOCHARSETTINGS_IKPANEL_LEFTELBOW	Linker Ellbogen
STUDIOCHARSETTINGS_IKPANEL_RIGHTELBOW	Rechter Ellbogen
STUDIOCHARSETTINGS_IKPANEL_LEFTKNEE	Linkes Knie
STUDIOCHARSETTINGS_IKPANEL_RIGHTKNEE	Rechtes Knie
STUDIOCHARSETTINGS_IKPANEL_POSWEIGHT	Positionsstärke
STUDIOCHARSETTINGS_IKPANEL_ROTWEIGHT	Rotationsstärke
STUDIOCHARSETTINGS_IKPANEL_SPINESTIFF	Steifheit Wirbelsäule
STUDIOCHARSETTINGS_IKPANEL_USETHIGHS	Strumpfhose benutzen
STUDIOCHARSETTINGS_IKPANEL_VERTPULL	Vertikale Anziehung
STUDIOCHARSETTINGS_IKPANEL_HORZPULL	Horizontale Anziehung
STUDIOCHARSETTINGS_IKPANEL_RELPOS	Relative Position
STUDIOCHARSETTINGS_IKPANEL_PULL	Ziehen
STUDIOCHARSETTINGS_IKPANEL_REACH	Reichen
STUDIOCHARSETTINGS_IKPANEL_PUSH	Schieben
STUDIOCHARSETTINGS_IKPANEL_PUSHPARENT	Schiebe Parent
STUDIOCHARSETTINGS_IKPANEL_REACHSMOOTHING	"Reichen"-Glättung
STUDIOCHARSETTINGS_IKPANEL_PUSHSMOOTHING	"Schieben"-Glättung
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_NONE	Keine
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_EXPONENTIAL	Exponentiell
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_CUBIC	Kubisch
STUDIOCHARSETTINGS_IKPANEL_MIRROR	Spiegelwerte	-4
STUDIOCHARSETTINGS_IKPANEL_DISABLE	Disable
