STUDIOSCENESETTINGS_TITLE	Einstellungen Szenen
STUDIOSCENESETTINGS_BASIC_TITLE	Einfach
STUDIOSCENESETTINGS_ENV_TITLE	Umgebung
STUDIOSCENESETTINGS_AUDIO_TITLE	Ton

STUDIOSCENESETTINGS_NONESELECTED	Keine
STUDIOSCENESETTINGS_DEFAULT	Standard

STUDIOSCENESETTINGS_NAME	Name
STUDIOSCENESETTINGS_MAP	Karte
STUDIOSCENESETTINGS_COLOR	Farbe
STUDIOSCENESETTINGS_IMAGE	Bild
STUDIOSCENESETTINGS_BGM	Hintergrundmusik
STUDIOSCENESETTINGS_VOLUME	Lautstärke
STUDIOSCENESETTINGS_PLAYBACK	Wiedergabe

STUDIOSCENESETTINGS_SELECT	Auswahl
STUDIOSCENESETTINGS_STOP	Stop
STUDIOSCENESETTINGS_START	Start
STUDIOSCENESETTINGS_RESET	Standard	-1

STUDIOSCENESETTINGS_FROMSCENE	Geladene Szene
STUDIOSCENESETTINGS_PICKIMAGE	Auswahl Bild
STUDIOSCENESETTINGS_PICKBGM	Auswahl Hintergrundmusik	-2
STUDIOSCENESETTINGS_SKYBOX	Skybox
STUDIOSCENESETTINGS_INTENSITY	Intensität
STUDIOSCENESETTINGS_PICKSKYBOX	Wähle benutzerdefinierte Skybox	-4
STUDIOSCENESETTINGS_ROTATION	Rotation
