MODCREATOR_BUILDER_MODINFO	Informazioni Mod
MODCREATOR_BUILDER_NAME	Nome
MODCREATOR_BUILDER_DESC	Descrizione
MODCREATOR_BUILDER_AUTHOR	Autore
MODCREATOR_BUILDER_VERSION	Versione
MODCREATOR_BUILDER_COMPATVER	Compatibile con le versionsi
MODCREATOR_BUILDER_DEPS	Dipendenze
MODCREATOR_BUILDER_CHARAOBJ	Oggetti Personaggio
MODCREATOR_BUILDER_STUDIOOBJ	Oggetti Studio
MODCREATOR_BUILDER_MODSCENE	Scene Moddate
MODCREATOR_BUILDER_DEBUG	Modalità Debug
MODCREATOR_BUILDER_ASSIGN	Assegna i Component
MODCREATOR_BUILDER_BUILD	Build Mod
MODCREATOR_BUILDER_RESET	Reset
MODCREATOR_BUILDER_COMPTYPE	Tipo di compressione
MODCREATOR_BUILDER_DECOMPRESS	Decomprimi Mod
MODCREATOR_BUILDER_COMPRESS	Comprimi Mod
MODCREATOR_BUILDER_DEFAULT	Default
MODCREATOR_BUILDER_LOAD	Carica Mod
MODCREATOR_BUILDER_ASMINFO	Informazioni sull'Assembly
MODCREATOR_BUILDER_SIZE	Dimensione
MODCREATOR_BUILDER_LIST	Lista
