STUDIOSCENESETTINGS_TITLE	Impostazioni della scena
STUDIOSCENESETTINGS_BASIC_TITLE	Base
STUDIOSCENESETTINGS_ENV_TITLE	Ambiente
STUDIOSCENESETTINGS_AUDIO_TITLE	Audio

STUDIOSCENESETTINGS_NONESELECTED	Nessuno selezionato

STUDIOSCENESETTINGS_NAME	Nome
STUDIOSCENESETTINGS_MAP	Mappa
STUDIOSCENESETTINGS_COLOR	Colore
STUDIOSCENESETTINGS_IMAGE	Immagine
STUDIOSCENESETTINGS_BGM	BGM
STUDIOSCENESETTINGS_VOLUME	Volume
STUDIOSCENESETTINGS_PLAYBACK	Playback

STUDIOSCENESETTINGS_SELECT	Seleziona
STUDIOSCENESETTINGS_STOP	Stop
STUDIOSCENESETTINGS_START	Start
STUDIOSCENESETTINGS_RESET	Reset

STUDIOSCENESETTINGS_FROMSCENE	Scena caricata
STUDIOSCENESETTINGS_PICKIMAGE	Seleziona un'immagine
STUDIOSCENESETTINGS_PICKBGM	Seleziona un'BGM
STUDIOSCENESETTINGS_SKYBOX	Skybox
STUDIOSCENESETTINGS_INTENSITY	Intensità
STUDIOSCENESETTINGS_PICKSKYBOX	Seleziona una skybox personalizzata	-3
STUDIOSCENESETTINGS_DEFAULT	Default
STUDIOSCENESETTINGS_ROTATION	Rotazione
