TOOLTIP_CHARA	Personaggio
TOOLTIP_OUTFIT	Outfit
TOOLTIP_STUDIOSCENE	Scena Studio

TOOLTIP_STUDIOWORKSPACE_TITLE	Workspace
TOOLTIP_STUDIOWORKSPACE_CLEAR	Rimuovi tutti gli oggetti
TOOLTIP_STUDIOWORKSPACE_REMOVE	Rimuovi gli oggetti selezionati
TOOLTIP_STUDIOWORKSPACE_CUT	Taglia oggetti
TOOLTIP_STUDIOWORKSPACE_COPY	Copia oggetti
TOOLTIP_STUDIOWORKSPACE_DUPLICATE	Duplica oggetti
TOOLTIP_STUDIOWORKSPACE_PASTE	Incolla oggetti
TOOLTIP_STUDIOWORKSPACE_RENAME	Rinomina oggetti
TOOLTIP_STUDIOWORKSPACE_FOLDER	Crea Cartella
TOOLTIP_STUDIOWORKSPACE_ADDCHARA	Aggiungi personaggio
TOOLTIP_STUDIOWORKSPACE_EDITCHARA	Modifica personaggio
