SETTINGS_CATEGORIES_DISPLAY_TITLE	Schermo
SETTINGS_CATEGORIES_GRAPHICS_TITLE	Grafica
SETTINGS_CATEGORIES_AUDIO_TITLE	Audio
SETTINGS_CATEGORIES_TEXT_TITLE	Testo
SETTINGS_CATEGORIES_GENERAL_TITLE	Generali
SETTINGS_CATEGORIES_CONTROLS_TITLE	Controlli
SETTINGS_CATEGORIES_MODS_TITLE	Mod

SETTINGS_CATEGORIES_DISPLAY_DESC	Regola Impostazioni Schermo
SETTINGS_CATEGORIES_GRAPHICS_DESC	Regola Impostazioni Grafica
SETTINGS_CATEGORIES_AUDIO_DESC	Regola Volume e Impostazioni Suono	-2
SETTINGS_CATEGORIES_TEXT_DESC	Regola Impostazioni Testo
SETTINGS_CATEGORIES_GENERAL_DESC	Regola Impostazioni generali
SETTINGS_CATEGORIES_CONTROLS_DESC	Regola Controlli
SETTINGS_CATEGORIES_MODS_DESC	Gestisci le Mod e le loro Impostazioni	-4
