SETTINGS_PAGE_AUDIO_HEADER_MASTER	Volume Principale
SETTINGS_PAGE_AUDIO_HEADER_VOLUME	Impostazioni Volume
SETTINGS_PAGE_AUDIO_HEADER_SOUND	Impostazioni Suono

SETTINGS_PAGE_AUDIO_MASTER	Volume Principale
SETTINGS_PAGE_AUDIO_MAINBGM	BGM Principale
SETTINGS_PAGE_AUDIO_OTHERBGM	BGM Secondaria
SETTINGS_PAGE_AUDIO_SYSTEM	Sistema
SETTINGS_PAGE_AUDIO_SFX	Sound Effetti

SETTINGS_PAGE_AUDIO_ITEM_A	Oggetto Specifico A
SETTINGS_PAGE_AUDIO_ITEM_B	Oggetto Specifico B
SETTINGS_PAGE_AUDIO_ITEM_C	Oggetto Specifico C
