MODCREATOR_ADV_CODEREL コード関連
MODCREATOR_ADV_CUSTOMTYPE カスタムタイプ
MODCREATOR_ADV_USINGS 使用法
MODCREATOR_ADV_SOURCE ソースコード関連
MODCREATOR_ADV_IMPORT インポート
MODCREATOR_ADV_IMPORTSRC インポートソースコード
MODCREATOR_ADV_EXPORT エクスポート
MODCREATOR_ADV_EXPORTSRC輸出ソース・コード
MODCREATOR_ADV_WARN1 'Custom Type'がソースコードのクラス名と一致していることを確認してください。
MODCREATOR_ADV_WARN2 'BaseClothing'、'BaseHair'、'BaseTexture'、'BaseBaseMesh'、または 'BaseAccessory' を基本タイプとして使用する必要があります。
MODCREATOR_ADV_WARN3 'BaseStudioObject' を基本のタイプとして使用する必要があります。
MODCREATOR_ADV_WARN4 基本タイプを変更した場合は、BasicタブのTypeがそれに合わせて設定されていることを確認してください。
