MODCREATOR_BUILDER_MODINFO MOD 情報
MODCREATOR_BUILDER_NAME 名前
MODCREATOR_BUILDER_DESC 説明
MODCREATOR_BUILDER_AUTHOR 作者名
MODCREATOR_BUILDER_VERSION バージョン
MODCREATOR_BUILDER_COMPATVER 互換バージョン
MODCREATOR_BUILDER_DEPS 依存関係
MODCREATOR_BUILDER_CHARAOBJ キャラクタ-オブジェクト
MODCREATOR_BUILDER_STUDIOOBJ スタジオオブジェクト
MODCREATOR_BUILDER_MODSCENE モディファイされたシーン
MODCREATOR_BUILDER_DEBUG デバッグモード
MODCREATOR_BUILDER_ASSIGN コンポーネントの割り当て
MODCREATOR_BUILD_BUILD ビルドMOD
MODCREATOR_BUILDER_RESET リセット
MODCREATOR_BUILDER_COMPTYPE 圧縮タイプ
MODCREATOR_BUILDER_DECOMPRESS 展開MOD
MODCREATOR_BUILDER_COMPRESS 圧縮MOD
MODCREATOR_BUILDER_DEFAULT デフォルト
MODCREATOR_BUILDER_LOAD ロード改造
MODCREATOR_BUILDER_ASMINFO アセンブリ情報
MODCREATOR_BUILDER_SIZE サイズ
MODCREATOR_BUILDER_LIST リスト

