CHARAPROFILE_TITLE	キャラクタープロフィール
CHARAPROFILE_BASIC_TITLE	基本情報
CHARAPROFILE_OPTIONS_TITLE	キャラクターオプション
CHARAPROFILE_BIO_TITLE	キャラクター経歴

CHARAPROFILE_RANDOM	ランダム

CHARAPROFILE_FAMILYNAME	姓
CHARAPROFILE_GIVENNAME	名
CHARAPROFILE_BIRTHDATE	生年月日
CHARAPROFILE_BLOODTYPE	血液型
CHARAPROFILE_NICKNAME	ニックネーム
CHARAPROFILE_PERSONALITY	性格

CHARAPROFILE_MONTH_JANUARY　1月
CHARAPROFILE_MONTH_FEBRUARY　2月
CHARAPROFILE_MONTH_MARCH　3月
CHARAPROFILE_MONTH_APRIL　4月
CHARAPROFILE_MONTH_MAY	5月
CHARAPROFILE_MONTH_JUNE	6月
CHARAPROFILE_MONTH_JULY	7月
CHARAPROFILE_MONTH_AUGUST　8月
CHARAPROFILE_MONTH_SEPTEMBER　9月
CHARAPROFILE_MONTH_OCTOBER　10月
CHARAPROFILE_MONTH_NOVEMBER　11月
CHARAPROFILE_MONTH_DECEMBER　12月

CHARAPROFILE_FUTA	ふたなりの切り替え

CHARAPROFILE_TOGGLE	切り替え
