STUDIOCHARSETTINGS_IKPOSEPANEL_TITLE	IKポーズ
STUDIOCHARSETTINGS_IKPOSEPANEL_NONESELECTED	キャラクターが選択されていません
STUDIOCHARSETTINGS_IKPOSEPANEL_ONLYONEALLOWED	一度に修正できるキャラクターは１人だけですscreen

STUDIOCHARSETTINGS_IKPOSEPANEL_NONEAVAILABLE	利用可能なポーズがありません

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADING_TITLE	ロード中
STUDIOCHARSETTINGS_IKPOSEPANEL_SAVING_TITLE	保存中

STUDIOCHARSETTINGS_IKPOSEPANEL_NAME	名前

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVE	保存

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVEPOSE	ポーズを保存

STUDIOCHARSETTINGS_IKPOSEPANEL_MANAGE	管理

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADPOSE	ポーズをロード
STUDIOCHARSETTINGS_IKPOSEPANEL_DELETEPOSE	ポーズを削除
