NOTIFICATION_TITLE_CLOTHINGFITTING	服のフィッティング
NOTIFICATION_TITLE_MISSINGMOD	不足しているMOD
NOTIFICATION_TITLE_BACKGROUND	背景
NOTIFICATION_TITLE_BGM	背景音楽
NOTIFICATION_TITLE_SETTINGS	設定
NOTIFICATION_TITLE_SCREENSHOT	スクリーンショット
NOTIFICATION_TITLE_TEXTURE	テクスチャ
NOTIFICATION_TITLE_SKYBOX	スカイボックス
NOTIFICATION_TITLE_BROKENCHARA	破損したキャラクター
NOTIFICATION_TITLE_BROKENPOSE	破損したポーズ
NOTIFICATION_TITLE_BROKENEXPR	破損した表情
NOTIFICATION_TITLE_MISSINGCHARAPART	不足しているキャラクターパーツ

NOTIFICATION_TITLE_DATAOBJ_CHARACTERCARD	キャラクター
NOTIFICATION_TITLE_DATAOBJ_OUTFITCARD	服
NOTIFICATION_TITLE_DATAOBJ_STUDIOSCENECARD	スタジオシーン
NOTIFICATION_TITLE_DATAOBJ_EXPRESSION	表情
NOTIFICATION_TITLE_DATAOBJ_NAMES	名前
NOTIFICATION_TITLE_DATAOBJ_SETTINGS	設定
NOTIFICATION_TITLE_DATAOBJ_POSECARD	ポーズ

NOTIFICATION_TITLE_UNDO	元に戻す
NOTIFICATION_TITLE_REDO	やり直す

NOTIFICATION_DESC_CLOTHINGFITTING_COMPLETE	服のフィッティングプロセスが完了しました。 (所要時間: {{0}}ms)

NOTIFICATION_DESC_MOD_VERSIONDIFF	MOD {{0}} ID {{1}} バージョン {{2}} がインストールされた {{3}} と異なります。互換性の問題が発生する可能性があります。
NOTIFICATION_DESC_MOD_NOTFOUND	MOD {{0}} ID {{1}} が見つかりません。スキップします。
NOTIFICATION_DESC_MOD_NOTFOUND_DEFAULTING	MOD {{0}} ID {{1}} が見つかりません。デフォルトに戻します。

NOTIFICATION_DESC_BACKGROUND_FAILED	背景画像の読み込みに失敗しました
NOTIFICATION_DESC_BGM_FAILED	背景音楽の読み込みに失敗しました
NOTIFICATION_DESC_SKYBOX_FAILED	スカイボックスの読み込みに失敗しました

NOTIFICATION_DESC_CHARA_FAILED	キャラクターの読み込みに失敗しました。デフォルトに戻します。
NOTIFICATION_DESC_POSE_FAILED	ポーズの読み込みに失敗しました。スキップします。
NOTIFICATION_DESC_EXPR_FAILED	表情の読み込みに失敗しました。スキップします。
NOTIFICATION_DESC_CHARAPART_NOTFOUND_DEFAULTING	ボディーパーツ {{0}} が見つかりません。デフォルトに戻します。

NOTIFICATION_DESC_DATA_SAVED	データを保存しました
NOTIFICATION_DESC_DATA_LOADED	データを正常に読み込みました
NOTIFICATION_DESC_DATA_ADDED	データを追加しました
NOTIFICATION_DESC_DATA_DELETED	データを削除しました
NOTIFICATION_DESC_DATA_WFAILED	データの保存に失敗しました
NOTIFICATION_DESC_DATA_RFAILED	データの読み込みに失敗しました

NOTIFICATION_DESC_SAVEDAS	{{0}} として保存しました

NOTIFICATION_DESC_SETTINGS_DEFAULTED	すべての設定をデフォルトに戻しました
NOTIFICATION_DESC_SETTING_FAILED	設定 {{0}} の保存に失敗しました

NOTIFICATION_DESC_UNDO_SUCCESS	元に戻しました
NOTIFICATION_DESC_UNDO_FAIL	元に戻せませんでした

NOTIFICATION_DESC_REDO_SUCCESS	やり直しました
NOTIFICATION_DESC_REDO_FAIL	やり直せませんでした
