DATAOBJPANEL_NONESELECTED	なし
DATAOBJPANEL_NONEAVAILABLE	利用可能なカードはありません

DATAOBJPANEL_TYPE_CHARA	キャラクター
DATAOBJPANEL_TYPE_OUTFIT	衣装
DATAOBJPANEL_TYPE_SCENE	シーン

DATAOBJPANEL_LOADOPTIONS	ロードオプション

DATAOBJPANEL_DELETE	削除
DATAOBJPANEL_ADD	追加
DATAOBJPANEL_LOAD	ロード
DATAOBJPANEL_SAVE	保存

DATAOBJPANEL_CANCEL	キャンセル
DATAOBJPANEL_CAPTURE	キャプチャー
DATAOBJPANEL_KEEPIMG	画像を保持

DATAOBJPANEL_LOAD_CLOTHING	服
DATAOBJPANEL_LOAD_HAIR	髪
DATAOBJPANEL_LOAD_ACC	アクセサリー
DATAOBJPANEL_LOAD_PROFILE	プロフィール
DATAOBJPANEL_LOAD_OUTFITS	衣装
DATAOBJPANEL_LOAD_BODY	体

DATAOBJPANEL_LOAD_MAP	マップ
DATAOBJPANEL_LOAD_OBJ	オブジェクト
DATAOBJPANEL_LOAD_BG	背景
DATAOBJPANEL_LOAD_BGM	背景音楽
