SETTINGS_CATEGORIES_DISPLAY_TITLE	表示
SETTINGS_CATEGORIES_GRAPHICS_TITLE	グラフィックス
SETTINGS_CATEGORIES_AUDIO_TITLE	オーディオ
SETTINGS_CATEGORIES_TEXT_TITLE	テキスト
SETTINGS_CATEGORIES_GENERAL_TITLE	一般
SETTINGS_CATEGORIES_CONTROLS_TITLE	コントロール
SETTINGS_CATEGORIES_MODS_TITLE	MOD

SETTINGS_CATEGORIES_DISPLAY_DESC	表示オプションの調整
SETTINGS_CATEGORIES_GRAPHICS_DESC	グラフィックスオプションの調整
SETTINGS_CATEGORIES_AUDIO_DESC	音量とサウンドオプションの調整
SETTINGS_CATEGORIES_TEXT_DESC	テキストオプションの調整
SETTINGS_CATEGORIES_GENERAL_DESC	一般的なゲームオプションの調整
SETTINGS_CATEGORIES_CONTROLS_DESC	コントロールの調整
SETTINGS_CATEGORIES_MODS_DESC	MODとその設定の管理
