SETTINGS_PAGE_GRAPHICS_HEADER_OPTIONS	グラフィックスオプション
SETTINGS_PAGE_GRAPHICS_HEADER_LOD	オブジェクト品質
SETTINGS_PAGE_GRAPHICS_HEADER_SHADOWQUALITY	影の品質
SETTINGS_PAGE_GRAPHICS_HEADER_ANTIALIASING	アンチエイリアシング

SETTINGS_PAGE_GRAPHICS_VERYHIGH	最高
SETTINGS_PAGE_GRAPHICS_HIGH	高
SETTINGS_PAGE_GRAPHICS_MEDIUM	中
SETTINGS_PAGE_GRAPHICS_LOW	低
SETTINGS_PAGE_GRAPHICS_CUSTOM	カスタム

SETTINGS_PAGE_GRAPHICS_VSYNC	V-Sync
SETTINGS_PAGE_GRAPHICS_AO	アンビエントオクルージョン
SETTINGS_PAGE_GRAPHICS_SSS	スクリーンスペースシャドウ

SETTINGS_PAGE_GRAPHICS_VIGNETTE	ビネット
SETTINGS_PAGE_GRAPHICS_BLOOM	ブルーム

SETTINGS_PAGE_GRAPHICS_NONE	なし
