CONTROLPANEL_POSES_TITLE	Controles de Pose
CONTROLPANEL_POSES_EYEDIR	Direção dos Olhos
CONTROLPANEL_POSES_HEADDIR	Direção da Cabeça
CONTROLPANEL_POSES_LEFTHANDPOSE	Pose da Mão Esquerda
CONTROLPANEL_POSES_RIGHTHANDPOSE	Pose da Mão Direita
CONTROLPANEL_POSES_POSE	Seleção de Pose
CONTROLPANEL_POSES_POSESPEED	Velocidade da Pose

CONTROLPANEL_POSES_IK	Cinemática Inversa
CONTROLPANEL_POSES_IKSEL	Seleção de IK

CONTROLPANEL_POSES_NONE	Nenhum

CONTROLPANEL_POSE_LOOK_UP	Cima
CONTROLPANEL_POSE_LOOK_DOWN	Baixo
CONTROLPANEL_POSE_LOOK_LEFT	Esquerda
CONTROLPANEL_POSE_LOOK_RIGHT	Direita
CONTROLPANEL_POSE_LOOK_UPLEFT	Cima/Esquerda
CONTROLPANEL_POSE_LOOK_UPRIGHT	Cima/Direita
CONTROLPANEL_POSE_LOOK_DOWNLEFT	Baixo/Esquerda
CONTROLPANEL_POSE_LOOK_DOWNRIGHT	Baixo/Direita

CONTROLPANEL_POSE_HEAD_UP	Cima
CONTROLPANEL_POSE_HEAD_DOWN	Baixo
CONTROLPANEL_POSE_HEAD_LEFT	Esquerda
CONTROLPANEL_POSE_HEAD_RIGHT	Direita
CONTROLPANEL_POSE_HEAD_UPLEFT	Cima/Esquerda
CONTROLPANEL_POSE_HEAD_UPRIGHT	Cima/Direita
CONTROLPANEL_POSE_HEAD_DOWNLEFT	Baixo/Esquerda
CONTROLPANEL_POSE_HEAD_DOWNRIGHT	Baixo/Direita
CONTROLPANEL_POSE_LOOK_CAMERA	Câmera
CONTROLPANEL_POSE_LOOK_MANUAL	Manual
CONTROLPANEL_POSE_LOOK_FORWARD	Para Frente
CONTROLPANEL_POSE_HEAD_CAMERA	Câmera
CONTROLPANEL_POSE_HEAD_ANIMATION	Animação
CONTROLPANEL_POSE_HEAD_MANUAL	Manual
CONTROLPANEL_POSE_HEAD_FORWARD	Para Frente
