STUDIOSCENESETTINGS_TITLE	Configurações de Cena
STUDIOSCENESETTINGS_BASIC_TITLE	Básico
STUDIOSCENESETTINGS_ENV_TITLE	Ambiente
STUDIOSCENESETTINGS_AUDIO_TITLE	Áudio

STUDIOSCENESETTINGS_NONESELECTED	Nenhum
STUDIOSCENESETTINGS_DEFAULT	Padrão

STUDIOSCENESETTINGS_NAME	Nome
STUDIOSCENESETTINGS_MAP	Mapa
STUDIOSCENESETTINGS_COLOR	Cor
STUDIOSCENESETTINGS_IMAGE	Imagem
STUDIOSCENESETTINGS_BGM	Música de Fundo
STUDIOSCENESETTINGS_VOLUME	Volume
STUDIOSCENESETTINGS_PLAYBACK	Reproduzir

STUDIOSCENESETTINGS_SELECT	Selecionar
STUDIOSCENESETTINGS_STOP	Parar
STUDIOSCENESETTINGS_START	Iniciar
STUDIOSCENESETTINGS_RESET	Resetar

STUDIOSCENESETTINGS_FROMSCENE	Cena Carregada
STUDIOSCENESETTINGS_PICKIMAGE	Escolher Imagem
STUDIOSCENESETTINGS_PICKBGM	Escolher Música de Fundo	-2
STUDIOSCENESETTINGS_SKYBOX	Skybox
STUDIOSCENESETTINGS_INTENSITY	Intensidade
STUDIOSCENESETTINGS_PICKSKYBOX	Escolher Skybox Personalizada	-3
STUDIOSCENESETTINGS_ROTATION	Rotação
