SETTINGS_CATEGORIES_DISPLAY_TITLE	Vídeo
SETTINGS_CATEGORIES_GRAPHICS_TITLE	Gráficos
SETTINGS_CATEGORIES_AUDIO_TITLE	Áudio
SETTINGS_CATEGORIES_TEXT_TITLE	Texto
SETTINGS_CATEGORIES_GENERAL_TITLE	Geral
SETTINGS_CATEGORIES_CONTROLS_TITLE	Controles
SETTINGS_CATEGORIES_MODS_TITLE	Mods

SETTINGS_CATEGORIES_DISPLAY_DESC	Ajustar Opções de Vídeo
SETTINGS_CATEGORIES_GRAPHICS_DESC	Ajustar Opções de Gráficos
SETTINGS_CATEGORIES_AUDIO_DESC	Ajustar Opções de Volume e Áudio
SETTINGS_CATEGORIES_TEXT_DESC	Ajustar Opções de Texto
SETTINGS_CATEGORIES_GENERAL_DESC	Ajustar Opções Gerais do Jogo
SETTINGS_CATEGORIES_CONTROLS_DESC	Ajustar Controles
SETTINGS_CATEGORIES_MODS_DESC	Gerenciar Mods e suas configurações	-2
