SETTINGS_PAGE_GENERAL_HEADER_LANG	Idioma
SETTINGS_PAGE_GENERAL_HEADER_GIZMO	Gizmo
SETTINGS_PAGE_GENERAL_HEADER_SELECTION	Seleção
SETTINGS_PAGE_GENERAL_HEADER_DEBUG	Debug
SETTINGS_PAGE_GENERAL_HEADER_SCREENSHOT	Captura de Tela

SETTINGS_PAGE_GENERAL_GIZMOSIZE	Multiplicador de Tamanho
SETTINGS_PAGE_GENERAL_OUTLINEWIDTH	Tamanho do Contorno
SETTINGS_PAGE_GENERAL_OUTLINECOLOR	Cor do Contorno
SETTINGS_PAGE_GENERAL_TOGGLEPERFPANEL	Alternar Painel de Desempenho
SETTINGS_PAGE_GENERAL_TOGGLEDATAOBJCOMPRESSION	Alternar Compressão do Painel de Dados

SETTINGS_PAGE_GENERAL_SS_FORMAT	Formato de Data
SETTINGS_PAGE_GENERAL_SS_ALPHA	Alternar Transparência
SETTINGS_PAGE_GENERAL_SS_UPSCALE	Upscaling

SETTINGS_PAGE_GENERAL_SS_NONE	Sem Upscaling
SETTINGS_PAGE_GENERAL_SS_TWO	Upscaling 2x
SETTINGS_PAGE_GENERAL_SS_FOUR	Upscaling 4x
SETTINGS_PAGE_GENERAL_SS_EIGHT	Upscaling 8x
SETTINGS_PAGE_GENERAL_HEADER_UI	 UI 
SETTINGS_PAGE_GENERAL_UI_ANIMATIONSPEED	Velocidade de animação da IU
