MODCREATOR_BUILDER_MODINFO	模组信息
MODCREATOR_BUILDER_NAME	名称
MODCREATOR_BUILDER_DESC	描述
MODCREATOR_BUILDER_AUTHOR	作者
MODCREATOR_BUILDER_VERSION	版本
MODCREATOR_BUILDER_COMPATVER	兼容版本
MODCREATOR_BUILDER_DEPS	依赖项
MODCREATOR_BUILDER_CHARAOBJ	角色物品
MODCREATOR_BUILDER_STUDIOOBJ	工作室品
MODCREATOR_BUILDER_MODSCENE	模组场景
MODCREATOR_BUILDER_DEBUG	调试模式
MODCREATOR_BUILDER_ASSIGN	分配组件
MODCREATOR_BUILDER_BUILD	构建模组
MODCREATOR_BUILDER_RESET	重置
MODCREATOR_BUILDER_COMPTYPE	压缩类型
MODCREATOR_BUILDER_DECOMPRESS	解压模组
MODCREATOR_BUILDER_COMPRESS	压缩模组
MODCREATOR_BUILDER_DEFAULT	默认
MODCREATOR_BUILDER_LOAD	加载模组
MODCREATOR_BUILDER_ASMINFO	程序集信息
MODCREATOR_BUILDER_SIZE	大小
MODCREATOR_BUILDER_LIST	列表
