STUDIOSETTINGS_TITLE	工作室设置
STUDIOSETTINGS_OBJCREATION_TITLE	对象创建
STUDIOSETTINGS_GIZMO_TITLE	控制器
STUDIOSETTINGS_TARGETDISPLAY_TITLE	目标 - 显示
STUDIOSETTINGS_TARGETSIZE_TITLE	目标 - 大小
STUDIOSETTINGS_CAMERA_TITLE	相机

STUDIOSETTINGS_DISPLAY	显示

STUDIOSETTINGS_LOCATION	位置
STUDIOSETTINGS_ORIGIN	原点
STUDIOSETTINGS_CAMERA	相机

STUDIOSETTINGS_PARENT	父级
STUDIOSETTINGS_ROOT	根节点
STUDIOSETTINGS_SELOBJ	选中对象

STUDIOSETTINGS_SIZE	大小

STUDIOSETTINGS_OBJECTS	对象
STUDIOSETTINGS_CHARA	角色
STUDIOSETTINGS_FOLDERS	文件夹
STUDIOSETTINGS_IKTARGETS	IK目标

STUDIOSETTINGS_SHOWCAMTARGET	显示相机目标
STUDIOSETTINGS_FOV	视野

STUDIOSETTINGS_RESET	重置
STUDIOSETTINGS_VIEWDISTANCE	视距
STUDIOSETTINGS_LOOKTARGETS	视觉目标
