CHARAPROFILE_TITLE	角色簡介
CHARAPROFILE_BASIC_TITLE	基本資訊
CHARAPROFILE_OPTIONS_TITLE	角色選項
CHARAPROFILE_BIO_TITLE	角色歷史

CHARAPROFILE_RANDOM	隨機

CHARAPROFILE_FAMILYNAME	姓氏
CHARAPROFILE_GIVENNAME	名字
CHARAPROFILE_BIRTHDATE	出生日期
CHARAPROFILE_BLOODTYPE	血型
CHARAPROFILE_NICKNAME	暱稱
CHARAPROFILE_PERSONALITY	個性

CHARAPROFILE_MONTH_JANUARY	一月
CHARAPROFILE_MONTH_FEBRUARY	二月
CHARAPROFILE_MONTH_MARCH	三月
CHARAPROFILE_MONTH_APRIL	四月
CHARAPROFILE_MONTH_MAY	五月
CHARAPROFILE_MONTH_JUNE	六月
CHARAPROFILE_MONTH_JULY	七月
CHARAPROFILE_MONTH_AUGUST	八月
CHARAPROFILE_MONTH_SEPTEMBER	九月
CHARAPROFILE_MONTH_OCTOBER	十月
CHARAPROFILE_MONTH_NOVEMBER	十一月
CHARAPROFILE_MONTH_DECEMBER	十二月

CHARAPROFILE_FUTA	切換扶她
CHARAPROFILE_TOGGLE	切換
