MODCREATOR_BASIC_COMPCONF	コンポーネントの構成
MODCREATOR_BASIC_TYPE	タイプ
MODCREATOR_BASIC_HAIRSLOT	ヘアスロット
MODCREATOR_BASIC_CLOTHSLOT	衣類スロット
MODCREATOR_BASIC_STUDIOSLOT	スタジオオブジェクトスロット
MODCREATOR_BASIC_CLOTHSTATE	衣類の状態
MODCREATOR_BASIC_ACCSLOT	アクセサリースロット
MODCREATOR_BASIC_TEXTYPE	テクスチャの種類
MODCREATOR_BASIC_TEX	テクスチャ
MODCREATOR_BASIC_REPARENTABLE	Reparentable
MODCREATOR_BASIC_PARENT	デフォルトペアレント
MODCREATOR_BASIC_USAGE	使用法
MODCREATOR_BASIC_SCENECONF	シーン設定
MODCREATOR_BASIC_ITEMCONF	アイテム構成
MODCREATOR_BASIC_NAME	名前
MODCREATOR_BASIC_DESC	説明
MODCREATOR_BASIC_GENDERS	サポートされる性別
MODCREATOR_BASIC_ICON	アイコン
MODCREATOR_BASIC_TAGS	タグ
MODCREATOR_BASIC_ADVEDIT	高度な編集
MODCREATOR_BASIC_COPY	コピー
MODCREATOR_BASIC_PASTE	ペースト

MODCREATOR_BASIC_NSFWCAT	R18コンテンツ
MODCREATOR_BASIC_ISNSFW	NSFW
MODCREATOR_BASIC_NSFWWARN1	R18コンテンツを含む改造アイテムはNSFWとしてマークされなければなりません。
MODCREATOR_BASIC_NSFWWARN2	透けて見える服、ヌードポスター、ストリップクラブなどが含まれます。
MODCREATOR_BASIC_NSFWWARN3	ゲームがSFWモードで動作している場合、NSFW改造アイテムは使用できません。

MODCREATOR_BASIC_CLOTHSTATE_FULL	フル
MODCREATOR_BASIC_CLOTHSTATE_HALF	ハーフ
MODCREATOR_BASIC_CLOTHSTATE_OFF	オフ

MODCREATOR_BASIC_ACCSLOT_HEAD	ヘッド
MODCREATOR_BASIC_ACCSLOT_NECK	首
MODCREATOR_BASIC_ACCSLOT_UPPERBODY	上半身
MODCREATOR_BASIC_ACCSLOT_LOWERBODY	下半身
MODCREATOR_BASIC_ACCSLOT_ARMS	腕
