STUDIOCHARSETTINGS_EYEHEADPANEL_TITLE	見つめ方と頭のコントロール
STUDIOCHARSETTINGS_EYEHEADPANEL_NONESELECTED	キャラクターが選択されていません
STUDIOCHARSETTINGS_EYEHEADPANEL_ONLYONEALLOWED	一度に修正できるキャラクターは１人だけです
STUDIOCHARSETTINGS_EYEHEADPANEL_NOTSUPPORTED	このキャラクターは目と頭のコントロールをサポートしていません

STUDIOCHARSETTINGS_EYEHEADPANEL_EYES	見つめ方
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD	頭

STUDIOCHARSETTINGS_EYEHEADPANEL_DIRECTION	方向

STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_CAMERA	カメラ
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_MANUAL	手動
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_FORWARD	前方
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UP	上
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWN	下
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_LEFT	左
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_RIGHT	右
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPLEFT	左上
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_UPRIGHT	右上
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNLEFT	左下
STUDIOCHARSETTINGS_EYEHEADPANEL_LOOK_DOWNRIGHT	右下

STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_CAMERA	カメラ
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_ANIMATION	アニメーション
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_MANUAL	手動
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_FORWARD	前方
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UP	上
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWN	下
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_LEFT	左
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_RIGHT	右
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPLEFT	左上
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_UPRIGHT	右上
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNLEFT	左下
STUDIOCHARSETTINGS_EYEHEADPANEL_HEAD_DOWNRIGHT	右下
STUDIOCHARSETTINGS_EYEHEADPANEL_COPY	コピー
STUDIOCHARSETTINGS_EYEHEADPANEL_PASTE	ペースト
