STUDIOCHARSETTINGS_IKCORRPANEL_TITLE	IK補正
STUDIOCHARSETTINGS_IKCORRPANEL_NONESELECTED	キャラクターが選択されていません
STUDIOCHARSETTINGS_IKCORRPANEL_ONLYONEALLOWED	一度に修正できるキャラクターは１人だけです

STUDIOCHARSETTINGS_IKCORRPANEL_EVERYTHING_TITLE	すべて

STUDIOCHARSETTINGS_IKCORRPANEL_TOGGLE	切り替え
STUDIOCHARSETTINGS_IKCORRPANEL_DISABLE	無効
STUDIOCHARSETTINGS_IKCORRPANEL_MIRROR	ミラー


STUDIOCHARSETTINGS_IKCORRPANEL_LEFTFOREARM	左前腕
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTFOREARM	右前腕
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTUPPERARM	左上腕
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTUPPERARM	右上腕
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTCALF	左脚下部
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTCALF	右脚下部
STUDIOCHARSETTINGS_IKCORRPANEL_LEFTTHIGH	左大腿
STUDIOCHARSETTINGS_IKCORRPANEL_RIGHTTHIGH	右大腿

STUDIOCHARSETTINGS_IKCORRPANEL_WEIGHT	重さ
STUDIOCHARSETTINGS_IKCORRPANEL_CROSSFADE	クロスフェード
STUDIOCHARSETTINGS_IKCORRPANEL_ANGOFFSET	角度オフセット
STUDIOCHARSETTINGS_IKCORRPANEL_COPY	コピー
STUDIOCHARSETTINGS_IKCORRPANEL_PASTE	ペースト
