STUDIOSCENESETTINGS_TITLE	シーン設定
STUDIOSCENESETTINGS_BASIC_TITLE	基本
STUDIOSCENESETTINGS_ENV_TITLE	環境
STUDIOSCENESETTINGS_AUDIO_TITLE	オーディオ

STUDIOSCENESETTINGS_NONESELECTED	なし
STUDIOSCENESETTINGS_DEFAULT	デフォルト

STUDIOSCENESETTINGS_NAME	名前
STUDIOSCENESETTINGS_MAP	マップ
STUDIOSCENESETTINGS_COLOR	色
STUDIOSCENESETTINGS_IMAGE	画像
STUDIOSCENESETTINGS_BGM	BGM
STUDIOSCENESETTINGS_VOLUME	音量
STUDIOSCENESETTINGS_PLAYBACK	再生
STUDIOSCENESETTINGS_SKYBOX	スカイボックス

STUDIOSCENESETTINGS_SELECT	選択
STUDIOSCENESETTINGS_STOP	停止
STUDIOSCENESETTINGS_START	開始
STUDIOSCENESETTINGS_RESET	リセット
STUDIOSCENESETTINGS_INTENSITY	強度
STUDIOSCENESETTINGS_ROTATION	回転

STUDIOSCENESETTINGS_FROMSCENE	ロードされたシーン
STUDIOSCENESETTINGS_PICKIMAGE	カスタム画像を選択
STUDIOSCENESETTINGS_PICKBGM	カスタムBGMを選択
STUDIOSCENESETTINGS_PICKSKYBOX	カスタムスカイボックスを選択	-3
