STUDIOSETTINGS_TITLE	スタジオ設定
STUDIOSETTINGS_OBJCREATION_TITLE	オブジェクト作成
STUDIOSETTINGS_GIZMO_TITLE	ギズモ
STUDIOSETTINGS_TARGETDISPLAY_TITLE	ターゲット - 表示
STUDIOSETTINGS_TARGETSIZE_TITLE	ターゲット - サイズ
STUDIOSETTINGS_CAMERA_TITLE	カメラ

STUDIOSETTINGS_DISPLAY	表示

STUDIOSETTINGS_LOCATION	位置
STUDIOSETTINGS_ORIGIN	原点
STUDIOSETTINGS_CAMERA	カメラ

STUDIOSETTINGS_PARENT	親
STUDIOSETTINGS_ROOT	ルート
STUDIOSETTINGS_SELOBJ	選択された

STUDIOSETTINGS_SIZE	サイズ

STUDIOSETTINGS_OBJECTS	オブジェクト	-1
STUDIOSETTINGS_CHARA	キャラクター	-1
STUDIOSETTINGS_FOLDERS	フォルダー
STUDIOSETTINGS_IKTARGETS	IKターゲット	-1
STUDIOSETTINGS_LOOKTARGETS	ルックターゲット	-2

STUDIOSETTINGS_SHOWCAMTARGET	カメラターゲットを表示
STUDIOSETTINGS_FOV	視野角
STUDIOSETTINGS_VIEWDISTANCE	表示距離

STUDIOSETTINGS_RESET	リセット


