TOOLTIP_CHARA	キャラクター
TOOLTIP_OUTFIT	服
TOOLTIP_STUDIOSCENE	スタジオシーン

TOOLTIP_STUDIOWORKSPACE_TITLE	ワークスペース
TOOLTIP_STUDIOWORKSPACE_CLEAR	すべてのオブジェクトを削除します
TOOLTIP_STUDIOWORKSPACE_REMOVE	選択したオブジェクトを削除します
TOOLTIP_STUDIOWORKSPACE_CUT	オブジェクトを切り取ります
TOOLTIP_STUDIOWORKSPACE_COPY	オブジェクトをコピーします
TOOLTIP_STUDIOWORKSPACE_DUPLICATE	オブジェクトを複製します
TOOLTIP_STUDIOWORKSPACE_PASTE	オブジェクトを貼り付けます
TOOLTIP_STUDIOWORKSPACE_RENAME	オブジェクト名を変更します
TOOLTIP_STUDIOWORKSPACE_FOLDER	フォルダーを作成します
TOOLTIP_STUDIOWORKSPACE_ADDCHARA	キャラクターを追加します
TOOLTIP_STUDIOWORKSPACE_EDITCHARA	キャラクターを編集します
TOOLTIP_CAMERA_TITLE	Camera
TOOLTIP_CAMERA_ADD	Add a new camera
TOOLTIP_CAMERA_CLEAR	Clear all cameras
TOOLTIP_CAMERA_SAVE	Save selected camera
TOOLTIP_CAMERA_APPLY	Apply selected camera
TOOLTIP_CAMERA_REMOVE	Remove selected camera
TOOLTIP_POSE	Pose
