SUBCATEGORY_SHAPES_FACE	顔
SUBCATEGORY_SHAPES_CHEEKS	頬
SUBCATEGORY_SHAPES_EARS	耳
SUBCATEGORY_SHAPES_JAW	顎
SUBCATEGORY_SHAPES_CHIN	あご
SUBCATEGORY_SHAPES_EYES	目
SUBCATEGORY_SHAPES_NOSE	鼻
SUBCATEGORY_SHAPES_MOUTH	口
SUBCATEGORY_SHAPES_EXPRESSION	表情

SUBCATEGORY_SHAPES_CHEST	胸
SUBCATEGORY_SHAPES_NECK	首
SUBCATEGORY_SHAPES_TORSO	胴体
SUBCATEGORY_SHAPES_WAIST	ウエスト
SUBCATEGORY_SHAPES_HIPS	ヒップ
SUBCATEGORY_SHAPES_ARMS	腕
SUBCATEGORY_SHAPES_LEGS	足
SUBCATEGORY_SHAPES_PRIVATES	プライベート

SUBCATEGORY_HAIR_SET	ヘアセット
SUBCATEGORY_HAIR_FRONT	前髪
SUBCATEGORY_HAIR_SIDE	横髪
SUBCATEGORY_HAIR_BACK	後ろ髪
SUBCATEGORY_HAIR_EXT	エクステンション

SUBCATEGORY_CLOTH_BRA	ブラジャー
SUBCATEGORY_CLOTH_PANTIES	パンティ
SUBCATEGORY_CLOTH_BOXERS	ボクサーパンツ
SUBCATEGORY_CLOTH_SOCKS	靴下
SUBCATEGORY_CLOTH_STOCKINGS	ストッキング
SUBCATEGORY_CLOTH_SHIRT	シャツ
SUBCATEGORY_CLOTH_COAT	コート
SUBCATEGORY_CLOTH_ONEPIECE	ワンピース
SUBCATEGORY_CLOTH_SKIRT	スカート
SUBCATEGORY_CLOTH_PANTS	パンツ
SUBCATEGORY_CLOTH_SHOES	靴

SUBCATEGORY_STUDIO_BASICSHAPES	基本形状
SUBCATEGORY_STUDIO_LIGHTS	ライト
SUBCATEGORY_STUDIO_EFFECTS2D	2Dエフェクト
SUBCATEGORY_STUDIO_EFFECTS3D	3Dエフェクト
SUBCATEGORY_STUDIO_SMALLOBJECTS	小さなオブジェクト
SUBCATEGORY_STUDIO_LARGEOBJECTS	大きなオブジェクト
SUBCATEGORY_STUDIO_MISCOBJECTS	その他のオブジェクト
SUBCATEGORY_STUDIO_HRELATED	H関連
SUBCATEGORY_STUDIO_FOODRELATED	食品関連
SUBCATEGORY_STUDIO_CHARARELATED	キャラクター関連
SUBCATEGORY_STUDIO_FURNITURE	家具
SUBCATEGORY_STUDIO_BUILDINGS	建物
SUBCATEGORY_STUDIO_GIMMICKS	仕掛け

SUBCATEGORY_ACC_HEAD	頭
SUBCATEGORY_ACC_NECK	首
SUBCATEGORY_ACC_UPPERBODY	上半身
SUBCATEGORY_ACC_LOWERBODY	下半身
SUBCATEGORY_ACC_ARMS	腕
SUBCATEGORY_ACC_HANDS	手
SUBCATEGORY_ACC_LEGS	足
SUBCATEGORY_ACC_FEET	足首

SUBCATEGORY_TEXTURES_FACESKIN	顔の皮膚
SUBCATEGORY_TEXTURES_BODYSKIN	体の皮膚
SUBCATEGORY_TEXTURES_NIPPLES	乳首

SUBCATEGORY_SETTINGS_CHARAPROFILE	キャラクタープロフィール	-1
SUBCATEGORY_SETTINGS_CHARACARDS	キャラクターカード
SUBCATEGORY_SETTINGS_OUTFITCARDS	衣装カード

SUBCATEGORY_SETTINGS_SCENESETTINGS	シーン設定
SUBCATEGORY_SETTINGS_STUDIOSETTINGS	スタジオ設定
SUBCATEGORY_SETTINGS_MAPS	マップ
SUBCATEGORY_SETTINGS_SCENES	シーン

SUBCATEGORY_STUDIO_CHARASETTINGS_IK	インバースキネマティクス
SUBCATEGORY_STUDIO_CHARASETTINGS_IKCORR	IK補正
SUBCATEGORY_STUDIO_CHARASETTINGS_EXPR	表情
SUBCATEGORY_STUDIO_CHARASETTINGS_EYEHEAD	見つめ方＆頭のコントロール
SUBCATEGORY_STUDIO_CHARASETTINGS_CLOTHACC	服＆アクセサリー

CATEGORY_HEAD	頭
CATEGORY_BODY	体
CATEGORY_HAIR	髪
CATEGORY_CLOTHES	服
CATEGORY_ACCESSORIES	アクセサリー
CATEGORY_TEXTURES	テクスチャ
CATEGORY_SETTINGS	設定
CATEGORY_OBJ	オブジェクト
CATEGORY_OBJSETTINGS	オブジェクト設定
CATEGORY_CHARASETTINGS	キャラクター設定
SUBCATEGORY_TEXTURES_FACEOVERLAY	Face Overlay
SUBCATEGORY_TEXTURES_BODYOVERLAY	Body Overlay
SUBCATEGORY_TEXTURES_LIPS	Lips
SUBCATEGORY_SHAPES_EYEBROWS	Eyebrows
SUBCATEGORY_SHAPES_EYELIDS	Eyelids
SUBCATEGORY_STUDIO_CHARASETTINGS_FK	Forward Kinematics
SUBCATEGORY_STUDIO_CHARASETTINGS_FKIKPOSES	FK/IK Poses
SUBCATEGORY_MALECHARA	Male Characters
SUBCATEGORY_FEMALECHARA	Female Characters
SUBCATEGORY_OUTFITS	Outfits
CATEGORY_CHARA	Characters
SUBCATEGORY_SHAPES_UPPEREYELIDS	Upper Eyelids
SUBCATEGORY_SHAPES_LOWEREYELIDS	Lower Eyelids
SUBCATEGORY_TEXTURES_BLUSH	Blush
SUBCATEGORY_CLOTH_GLOVES	Gloves
