MATCUSTOMIZER_TITLE	マテリアルカスタマイザー
MATCUSTOMIZER_SELECTEDMATERIAL	選択されたマテリアル:	-1
MATCUSTOMIZER_DISPLAY	表示:
MATCUSTOMIZER_RESET	リセット	-2
MATCUSTOMIZER_NONESELECTED	なし
MATCUSTOMIZER_EXPORT	輸出

MATCUSTOMIZER_TILING	タイリング
MATCUSTOMIZER_OFFSET	オフセット
MATCUSTOMIZER_TOGGLE	トグル

MATCUSTOMIZER_TOGGLE_COLORS	色
MATCUSTOMIZER_TOGGLE_VECTORS	ベクトル
MATCUSTOMIZER_TOGGLE_FLOATS	フロート
MATCUSTOMIZER_TOGGLE_RANGES	範囲
MATCUSTOMIZER_TOGGLE_TEXTURES	テクスチャ
MATCUSTOMIZER_TOGGLE_INTS	整数
MATCUSTOMIZER_TOGGLE_DROPDOWNS	ドロップダウン	-1
MATCUSTOMIZER_TOGGLE_TOGGLES	トグル

MATCUSTOMIZER_COPY	コピー
MATCUSTOMIZER_PASTE	ペースト
MATCUSTOMIZER_EXPORTUV	Export UV
