SETTINGS_PAGE_GENERAL_HEADER_LANG	言語
SETTINGS_PAGE_GENERAL_HEADER_GIZMO	ギズモ
SETTINGS_PAGE_GENERAL_HEADER_SELECTION	選択
SETTINGS_PAGE_GENERAL_HEADER_DEBUG	デバッグ
SETTINGS_PAGE_GENERAL_HEADER_SCREENSHOT	スクリーンショット
SETTINGS_PAGE_GENERAL_HEADER_UI	UI

SETTINGS_PAGE_GENERAL_UI_ANIMATIONSPEED	アニメーション速度

SETTINGS_PAGE_GENERAL_GIZMOSIZE	サイズ倍率
SETTINGS_PAGE_GENERAL_OUTLINEWIDTH	アウトライン幅
SETTINGS_PAGE_GENERAL_OUTLINECOLOR	アウトライン色
SETTINGS_PAGE_GENERAL_TOGGLEPERFPANEL	パフォーマンスパネルの切り替え
SETTINGS_PAGE_GENERAL_TOGGLEDATAOBJCOMPRESSION	データオブジェクトの圧縮の切り替え

SETTINGS_PAGE_GENERAL_SS_FORMAT	日付の書式
SETTINGS_PAGE_GENERAL_SS_ALPHA	透明度の切り替え
SETTINGS_PAGE_GENERAL_SS_UPSCALE	アップスケーリング

SETTINGS_PAGE_GENERAL_SS_NONE	アップスケーリングなし
SETTINGS_PAGE_GENERAL_SS_TWO	2倍のアップスケーリング
SETTINGS_PAGE_GENERAL_SS_FOUR	4倍のアップスケーリング
SETTINGS_PAGE_GENERAL_SS_EIGHT	8倍のアップスケーリング
