STUDIOCHARSETTINGS_IKPOSEPANEL_TITLE	IK姿势
STUDIOCHARSETTINGS_IKPOSEPANEL_NONESELECTED	未选择角色
STUDIOCHARSETTINGS_IKPOSEPANEL_ONLYONEALLOWED	一次只能修改一个角色

STUDIOCHARSETTINGS_IKPOSEPANEL_NONEAVAILABLE	无可用姿势

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADING_TITLE	加载中
STUDIOCHARSETTINGS_IKPOSEPANEL_SAVING_TITLE	保存中

STUDIOCHARSETTINGS_IKPOSEPANEL_NAME	名称

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVE	保存

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVEPOSE	保存姿势

STUDIOCHARSETTINGS_IKPOSEPANEL_MANAGE	管理

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADPOSE	加载姿势
STUDIOCHARSETTINGS_IKPOSEPANEL_DELETEPOSE	删除姿势
