MATCUSTOMIZER_TITLE	材质自定义器
MATCUSTOMIZER_SELECTEDMATERIAL	选定的材质:
MATCUSTOMIZER_DISPLAY	显示:
MATCUSTOMIZER_RESET	重置
MATCUSTOMIZER_NONESELECTED	无

MATCUSTOMIZER_TILING	平铺
MATCUSTOMIZER_OFFSET	偏移
MATCUSTOMIZER_TOGGLE	切换

MATCUSTOMIZER_TOGGLE_COLORS	颜色
MATCUSTOMIZER_TOGGLE_VECTORS	向量
MATCUSTOMIZER_TOGGLE_FLOATS	浮点数
MATCUSTOMIZER_TOGGLE_RANGES	范围
MATCUSTOMIZER_TOGGLE_TEXTURES	纹理
MATCUSTOMIZER_TOGGLE_INTS	整数
MATCUSTOMIZER_TOGGLE_DROPDOWNS	下拉菜单
MATCUSTOMIZER_TOGGLE_TOGGLES	开关
MATCUSTOMIZER_EXPORT	导出
MATCUSTOMIZER_COPY	复制
MATCUSTOMIZER_PASTE	粘贴
MATCUSTOMIZER_EXPORTUV	Export UV
