SETTINGS_CATEGORIES_DISPLAY_TITLE	显示
SETTINGS_CATEGORIES_GRAPHICS_TITLE	图形
SETTINGS_CATEGORIES_AUDIO_TITLE	音频
SETTINGS_CATEGORIES_TEXT_TITLE	文本
SETTINGS_CATEGORIES_GENERAL_TITLE	常规
SETTINGS_CATEGORIES_CONTROLS_TITLE	控制
SETTINGS_CATEGORIES_MODS_TITLE	模组

SETTINGS_CATEGORIES_DISPLAY_DESC	调整显示选项
SETTINGS_CATEGORIES_GRAPHICS_DESC	调整画质选项
SETTINGS_CATEGORIES_AUDIO_DESC	调整音量和声音选项
SETTINGS_CATEGORIES_TEXT_DESC	调整文本选项
SETTINGS_CATEGORIES_GENERAL_DESC	调整常规游戏选项
SETTINGS_CATEGORIES_CONTROLS_DESC	调整控制选项
SETTINGS_CATEGORIES_MODS_DESC	管理模组及其设置
