CONTROLPANEL_POSES_TITLE	姿勢控制
CONTROLPANEL_POSES_EYEDIR	眼睛方向
CONTROLPANEL_POSES_HEADDIR	頭部方向
CONTROLPANEL_POSES_LEFTHANDPOSE	左手勢
CONTROLPANEL_POSES_RIGHTHANDPOSE	右手勢
CONTROLPANEL_POSES_POSE	姿勢選擇
CONTROLPANEL_POSES_POSESPEED	姿勢速度

CONTROLPANEL_POSES_NONE	無

CONTROLPANEL_POSE_LOOK_UP	上
CONTROLPANEL_POSE_LOOK_DOWN	下
CONTROLPANEL_POSE_LOOK_LEFT	左
CONTROLPANEL_POSE_LOOK_RIGHT	右
CONTROLPANEL_POSE_LOOK_UPLEFT	左上
CONTROLPANEL_POSE_LOOK_UPRIGHT	右上
CONTROLPANEL_POSE_LOOK_DOWNLEFT	左下
CONTROLPANEL_POSE_LOOK_DOWNRIGHT	右下

CONTROLPANEL_POSE_HEAD_UP	上
CONTROLPANEL_POSE_HEAD_DOWN	下
CONTROLPANEL_POSE_HEAD_LEFT	左
CONTROLPANEL_POSE_HEAD_RIGHT	右
CONTROLPANEL_POSE_HEAD_UPLEFT	左上
CONTROLPANEL_POSE_HEAD_UPRIGHT	右上
CONTROLPANEL_POSE_HEAD_DOWNLEFT	左下
CONTROLPANEL_POSE_HEAD_DOWNRIGHT	右下
CONTROLPANEL_POSE_LOOK_CAMERA	鏡頭
CONTROLPANEL_POSE_LOOK_MANUAL	手動
CONTROLPANEL_POSE_LOOK_FORWARD	前方
CONTROLPANEL_POSE_HEAD_CAMERA	鏡頭
CONTROLPANEL_POSE_HEAD_ANIMATION	動畫
CONTROLPANEL_POSE_HEAD_MANUAL	手動
CONTROLPANEL_POSE_HEAD_FORWARD	前方
CONTROLPANEL_POSES_FKIK	FK/IK姿势
CONTROLPANEL_POSES_FKIKSEL	FK/IK選擇
