EYESCUSTOMPANEL_TITLE	眼睛自定义
EYESCUSTOMPANEL_NONESELECTED	無
EYESCUSTOMPANEL_NONEAVAILABLE	無可用對象
EYESCUSTOMPANEL_SEARCH_NAME	名称
EYESCUSTOMPANEL_SEARCH_DESC	描述
EYESCUSTOMPANEL_SEARCH_TAGS	標籤
EYESCUSTOMPANEL_BASICNOTAVAIL	在基礎模式不可用
EYESCUSTOMPANEL_BACK	返回
EYESCUSTOMPANEL_RESET	重置
EYESCUSTOMPANEL_ADVANCED	高级
EYESCUSTOMPANEL_SENDTOOTHER	发送到其他
EYESCUSTOMPANEL_READFROMOTHER	從其他讀取
EYESCUSTOMPANEL_ENABLE	启用
EYESCUSTOMPANEL_AUTOMATIC	自动
EYESCUSTOMPANEL_INVERT	反轉
EYESCUSTOMPANEL_UNSELECT	取消選擇
EYESCUSTOMPANEL_GRADTYPE	渐变类型
EYESCUSTOMPANEL_COLORS	颜色
EYESCUSTOMPANEL_COLOR	颜色
EYESCUSTOMPANEL_MIDANDSHARP	中點和锐度
EYESCUSTOMPANEL_MIDPOINT	中點
EYESCUSTOMPANEL_SHARPNESS	锐度
EYESCUSTOMPANEL_ANGLE	角度（起點和終點）
EYESCUSTOMPANEL_IRISLINES	虹膜線
EYESCUSTOMPANEL_COUNTWIDTH	數量和寬度
EYESCUSTOMPANEL_SOCKETCOLOR	眼窝颜色
EYESCUSTOMPANEL_MIRRORX	镜像X
EYESCUSTOMPANEL_MIRRORY	镜像Y
EYESCUSTOMPANEL_SECHIGHLIGHT	次要高光
EYESCUSTOMPANEL_DEADZONE	死區
EYESCUSTOMPANEL_DEADZONEATTN	死區衰減
EYESCUSTOMPANEL_IRIS	虹膜
EYESCUSTOMPANEL_RANDOM	随机
EYESCUSTOMPANEL_SEED	线条种子
EYESCUSTOMPANEL_SCALE	比例
EYESCUSTOMPANEL_SECONDARYSCALE	次要比例
EYESCUSTOMPANEL_IRISWIDTH	虹膜寬度
EYESCUSTOMPANEL_IRISHEIGHT	虹膜高度
EYESCUSTOMPANEL_SIDE_LEFT	左眼
EYESCUSTOMPANEL_SIDE_RIGHT	右眼
EYESCUSTOMPANEL_SIDE_BOTH	双眼
EYESCUSTOMPANEL_PART_INNERIRIS	内虹膜
EYESCUSTOMPANEL_PART_OUTERIRIS	外虹膜
EYESCUSTOMPANEL_PART_PUPIL	瞳孔
EYESCUSTOMPANEL_PART_SOCKET	眼窝
EYESCUSTOMPANEL_PART_HIGHLIGHT	高光
EYESCUSTOMPANEL_GRADIENT_X	X
EYESCUSTOMPANEL_GRADIENT_Y	Y
EYESCUSTOMPANEL_GRADIENT_CIRCLE	圆
EYESCUSTOMPANEL_COLORMODE_NONE	纹理颜色
EYESCUSTOMPANEL_COLORMODE_MULTIPLY	套色
EYESCUSTOMPANEL_COLORMODE_COLORIZE	仅颜色
