STUDIOCHARSETTINGS_IKPANEL_TITLE	IK
STUDIOCHARSETTINGS_IKPANEL_NONESELECTED	未選擇角色
STUDIOCHARSETTINGS_IKPANEL_ONLYONEALLOWED	一次只能修改一個角色

STUDIOCHARSETTINGS_IKPANEL_EVERYTHING_TITLE	全部

STUDIOCHARSETTINGS_IKPANEL_TOGGLE	切換
STUDIOCHARSETTINGS_IKPANEL_SYNCANIM	同步到動畫
STUDIOCHARSETTINGS_IKPANEL_SYNC	同步

STUDIOCHARSETTINGS_IKPANEL_BODY	身體
STUDIOCHARSETTINGS_IKPANEL_LEFTSHOULDER	左肩膀
STUDIOCHARSETTINGS_IKPANEL_RIGHTSHOULDER	右肩膀
STUDIOCHARSETTINGS_IKPANEL_LEFTTHIGH	左大腿
STUDIOCHARSETTINGS_IKPANEL_RIGHTTHIGH	右大腿
STUDIOCHARSETTINGS_IKPANEL_LEFTHAND	左手
STUDIOCHARSETTINGS_IKPANEL_RIGHTHAND	右手
STUDIOCHARSETTINGS_IKPANEL_LEFTFOOT	左腳
STUDIOCHARSETTINGS_IKPANEL_RIGHTFOOT	右腳

STUDIOCHARSETTINGS_IKPANEL_LEFTELBOW	左肘
STUDIOCHARSETTINGS_IKPANEL_RIGHTELBOW	右肘
STUDIOCHARSETTINGS_IKPANEL_LEFTKNEE	左膝
STUDIOCHARSETTINGS_IKPANEL_RIGHTKNEE	右膝
STUDIOCHARSETTINGS_IKPANEL_POSWEIGHT	位置權重
STUDIOCHARSETTINGS_IKPANEL_ROTWEIGHT	旋轉權重
STUDIOCHARSETTINGS_IKPANEL_SPINESTIFF	脊椎硬度
STUDIOCHARSETTINGS_IKPANEL_USETHIGHS	使用大腿
STUDIOCHARSETTINGS_IKPANEL_VERTPULL	垂直拉扯
STUDIOCHARSETTINGS_IKPANEL_HORZPULL	水平拉扯
STUDIOCHARSETTINGS_IKPANEL_RELPOS	相對位置
STUDIOCHARSETTINGS_IKPANEL_PULL	拉扯
STUDIOCHARSETTINGS_IKPANEL_REACH	伸展
STUDIOCHARSETTINGS_IKPANEL_PUSH	推動
STUDIOCHARSETTINGS_IKPANEL_PUSHPARENT	推動父級
STUDIOCHARSETTINGS_IKPANEL_REACHSMOOTHING	伸展平滑
STUDIOCHARSETTINGS_IKPANEL_PUSHSMOOTHING	推動平滑
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_NONE	無
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_EXPONENTIAL	指數
STUDIOCHARSETTINGS_IKPANEL_SMOOTHING_CUBIC	立方
STUDIOCHARSETTINGS_IKPANEL_MIRROR	鏡像值
STUDIOCHARSETTINGS_IKPANEL_DISABLE	Disable
STUDIOCHARSETTINGS_IKPANEL_COPY	複製
STUDIOCHARSETTINGS_IKPANEL_PASTE	粘貼
