STUDIOCHARSETTINGS_IKPOSEPANEL_TITLE	IK姿勢
STUDIOCHARSETTINGS_IKPOSEPANEL_NONESELECTED	未選擇角色
STUDIOCHARSETTINGS_IKPOSEPANEL_ONLYONEALLOWED	一次只能修改一個角色

STUDIOCHARSETTINGS_IKPOSEPANEL_NONEAVAILABLE	無可用姿勢

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADING_TITLE	加載中
STUDIOCHARSETTINGS_IKPOSEPANEL_SAVING_TITLE	保存中

STUDIOCHARSETTINGS_IKPOSEPANEL_NAME	名稱

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVE	保存

STUDIOCHARSETTINGS_IKPOSEPANEL_SAVEPOSE	保存姿勢

STUDIOCHARSETTINGS_IKPOSEPANEL_MANAGE	管理

STUDIOCHARSETTINGS_IKPOSEPANEL_LOADPOSE	加載姿勢
STUDIOCHARSETTINGS_IKPOSEPANEL_DELETEPOSE	刪除姿勢
