STUDIOSCENESETTINGS_TITLE	場景設置
STUDIOSCENESETTINGS_BASIC_TITLE	基本
STUDIOSCENESETTINGS_ENV_TITLE	環境
STUDIOSCENESETTINGS_AUDIO_TITLE	音頻

STUDIOSCENESETTINGS_NONESELECTED	無
STUDIOSCENESETTINGS_DEFAULT	默認

STUDIOSCENESETTINGS_NAME	名稱
STUDIOSCENESETTINGS_MAP	地圖
STUDIOSCENESETTINGS_COLOR	顏色
STUDIOSCENESETTINGS_IMAGE	圖片
STUDIOSCENESETTINGS_BGM	背景音樂
STUDIOSCENESETTINGS_VOLUME	音量
STUDIOSCENESETTINGS_PLAYBACK	播放

STUDIOSCENESETTINGS_SELECT	選擇
STUDIOSCENESETTINGS_STOP	停止
STUDIOSCENESETTINGS_START	開始
STUDIOSCENESETTINGS_RESET	重置

STUDIOSCENESETTINGS_FROMSCENE	加載的場景
STUDIOSCENESETTINGS_PICKIMAGE	選擇圖片
STUDIOSCENESETTINGS_PICKBGM	選擇BGM
STUDIOSCENESETTINGS_SKYBOX	天空盒
STUDIOSCENESETTINGS_INTENSITY	強度
STUDIOSCENESETTINGS_PICKSKYBOX	選擇自訂天空盒
STUDIOSCENESETTINGS_ROTATION	旋轉
