STUDIOSETTINGS_TITLE	工作室設置
STUDIOSETTINGS_OBJCREATION_TITLE	對象創建
STUDIOSETTINGS_GIZMO_TITLE	控制器
STUDIOSETTINGS_TARGETDISPLAY_TITLE	目標 - 顯示
STUDIOSETTINGS_TARGETSIZE_TITLE	目標 - 大小
STUDIOSETTINGS_CAMERA_TITLE	相機

STUDIOSETTINGS_DISPLAY	顯示

STUDIOSETTINGS_LOCATION	位置
STUDIOSETTINGS_ORIGIN	原點
STUDIOSETTINGS_CAMERA	相機

STUDIOSETTINGS_PARENT	父級
STUDIOSETTINGS_ROOT	根節點
STUDIOSETTINGS_SELOBJ	選中對象

STUDIOSETTINGS_SIZE	大小

STUDIOSETTINGS_OBJECTS	對象
STUDIOSETTINGS_CHARA	角色
STUDIOSETTINGS_FOLDERS	文件夾
STUDIOSETTINGS_IKTARGETS	IK目標

STUDIOSETTINGS_SHOWCAMTARGET	顯示相機目標
STUDIOSETTINGS_FOV	視野

STUDIOSETTINGS_RESET	重置
STUDIOSETTINGS_VIEWDISTANCE	視距
STUDIOSETTINGS_LOOKTARGETS	視覺目標
STUDIOSETTINGS_FKTARGETS	FK目標
STUDIOSETTINGS_TEXT	文本
