NOTIFICATION_TITLE_CLOTHINGFITTING	服裝調試
NOTIFICATION_TITLE_MISSINGMOD	模組缺失
NOTIFICATION_TITLE_BACKGROUND	背景
NOTIFICATION_TITLE_BGM	背景音樂
NOTIFICATION_TITLE_SETTINGS	設置
NOTIFICATION_TITLE_SCREENSHOT	截圖
NOTIFICATION_TITLE_TEXTURE	紋理
NOTIFICATION_TITLE_BROKENCHARA	角色損壞
NOTIFICATION_TITLE_BROKENPOSE	姿勢損壞
NOTIFICATION_TITLE_BROKENEXPR	表情損壞
NOTIFICATION_TITLE_MISSINGCHARAPART	身體部件缺失

NOTIFICATION_TITLE_DATAOBJ_CHARACTERCARD	角色卡
NOTIFICATION_TITLE_DATAOBJ_OUTFITCARD	服裝卡
NOTIFICATION_TITLE_DATAOBJ_STUDIOSCENECARD	工作室場景卡
NOTIFICATION_TITLE_DATAOBJ_EXPRESSION	表情
NOTIFICATION_TITLE_DATAOBJ_NAMES	名稱
NOTIFICATION_TITLE_DATAOBJ_SETTINGS	設置
NOTIFICATION_TITLE_DATAOBJ_POSECARD	姿勢卡

NOTIFICATION_TITLE_UNDO	撤銷
NOTIFICATION_TITLE_REDO	重做

NOTIFICATION_DESC_CLOTHINGFITTING_COMPLETE	服裝調試過程完成。（耗時：{{0}}毫秒）

NOTIFICATION_DESC_MOD_NOTFOUND	未找到模組{{0}} ID{{1}}，跳過
NOTIFICATION_DESC_MOD_NOTFOUND_DEFAULTING	未找到模組{{0}} ID{{1}}，默認設置

NOTIFICATION_DESC_BACKGROUND_FAILED	加載背景圖像失敗
NOTIFICATION_DESC_BGM_FAILED	加載背景音樂失敗

NOTIFICATION_DESC_CHARA_FAILED	角色加載失敗，使用默認設置
NOTIFICATION_DESC_POSE_FAILED	姿勢加載失敗，跳過
NOTIFICATION_DESC_EXPR_FAILED	表情加載失敗，跳過
NOTIFICATION_DESC_CHARAPART_NOTFOUND_DEFAULTING	未找到身體部件{{0}}，默認設置

NOTIFICATION_DESC_DATA_SAVED	數據保存成功
NOTIFICATION_DESC_DATA_LOADED	數據加載成功
NOTIFICATION_DESC_DATA_ADDED	數據添加成功
NOTIFICATION_DESC_DATA_DELETED	數據刪除成功
NOTIFICATION_DESC_DATA_WFAILED	數據保存失敗
NOTIFICATION_DESC_DATA_RFAILED	數據讀取失敗

NOTIFICATION_DESC_SAVEDAS	另存爲{{0}}

NOTIFICATION_DESC_SETTINGS_DEFAULTED	默認設置全部恢復
NOTIFICATION_DESC_SETTING_FAILED	設置{{0}}保存失敗

NOTIFICATION_DESC_UNDO_SUCCESS	撤銷成功
NOTIFICATION_DESC_UNDO_FAIL	撤銷失敗

NOTIFICATION_DESC_REDO_SUCCESS	重做成功
NOTIFICATION_DESC_REDO_FAIL	重做失敗
NOTIFICATION_DESC_MOD_VERSIONDIFF	Mod: {{0}} ID: {{1}} 版本: {{2}} 與已安裝的版本: {{3}} 不同，可能存在不兼容性
NOTIFICATION_TITLE_SKYBOX	天空盒
NOTIFICATION_DESC_SKYBOX_FAILED	天空盒加載失敗
NOTIFICATION_TITLE_MODIFIEDMOD	Modified Mod
NOTIFICATION_DESC_MOD_TYPEDIFF	Mod {{0}} ID {{1}} item type differs from expected, skipping
NOTIFICATION_DESC_MOD_TYPEDIFF_DEFAULTING	Mod {{0}} ID {{1}} item type differs from expected, defaulting
