MATCUSTOMIZER_TITLE	材質自定義器
MATCUSTOMIZER_SELECTEDMATERIAL	選定的材質:
MATCUSTOMIZER_DISPLAY	顯示:
MATCUSTOMIZER_RESET	重置
MATCUSTOMIZER_NONESELECTED	無

MATCUSTOMIZER_TILING	平鋪
MATCUSTOMIZER_OFFSET	偏移
MATCUSTOMIZER_TOGGLE	切換

MATCUSTOMIZER_TOGGLE_COLORS	顏色
MATCUSTOMIZER_TOGGLE_VECTORS	向量
MATCUSTOMIZER_TOGGLE_FLOATS	浮點數
MATCUSTOMIZER_TOGGLE_RANGES	範圍
MATCUSTOMIZER_TOGGLE_TEXTURES	紋理
MATCUSTOMIZER_TOGGLE_INTS	整數
MATCUSTOMIZER_TOGGLE_DROPDOWNS	下拉菜單
MATCUSTOMIZER_TOGGLE_TOGGLES	開關
MATCUSTOMIZER_EXPORT	導出
MATCUSTOMIZER_COPY	複製
MATCUSTOMIZER_PASTE	粘貼
MATCUSTOMIZER_EXPORTUV	Export UV
