SETTINGS_CATEGORIES_DISPLAY_TITLE	顯示
SETTINGS_CATEGORIES_GRAPHICS_TITLE	圖形
SETTINGS_CATEGORIES_AUDIO_TITLE	音頻
SETTINGS_CATEGORIES_TEXT_TITLE	文本
SETTINGS_CATEGORIES_GENERAL_TITLE	常規
SETTINGS_CATEGORIES_CONTROLS_TITLE	控制
SETTINGS_CATEGORIES_MODS_TITLE	模組

SETTINGS_CATEGORIES_DISPLAY_DESC	調整顯示選項
SETTINGS_CATEGORIES_GRAPHICS_DESC	調整畫質選項
SETTINGS_CATEGORIES_AUDIO_DESC	調整音量和聲音選項
SETTINGS_CATEGORIES_TEXT_DESC	調整文本選項
SETTINGS_CATEGORIES_GENERAL_DESC	調整一般遊戲選項
SETTINGS_CATEGORIES_CONTROLS_DESC	調整控制選項
SETTINGS_CATEGORIES_MODS_DESC	管理模組及其設定
